Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
1,0,Initial Contact,50.0%,0.26 (Inaccurate ),22.42 (Accurate ),60.97 (Accurate ),30.7 (Accurate ),75.0 % ,Good
2,0,Initial Contact,50.0%,0.07 (Inaccurate ),22.36 (Accurate ),60.21 (Accurate ),30.58 (Accurate ),75.0 % ,Good
3,0,Initial Contact,50.0%,0.47 (Inaccurate ),14.4 (Accurate ),113.13 (Accurate ),23.25 (Accurate ),75.0 % ,Good
4,0,Initial Contact,50.0%,0.75 (Inaccurate ),14.52 (Accurate ),137.81 (Inaccurate ),16.49 (Accurate ),50.0 % ,Satisfactory
5,0,Initial Contact,60.0%,2.76 (Inaccurate ),19.31 (Accurate ),9.86 (Accurate ),13.88 (Inaccurate ),50.0 % ,Satisfactory
6,0,Initial Contact,58.33%,6.86 (Accurate ),19.75 (Accurate ),59.34 (Accurate ),9.31 (Inaccurate ),75.0 % ,Good
7,0,Initial Contact,57.14%,7.99 (Accurate ),13.12 (Accurate ),82.26 (Inaccurate ),1.52 (Inaccurate ),50.0 % ,Satisfactory
8,0,Terminal Stance,37.5%,8.23 (Accurate ),7.46 (Inaccurate ),59.85 (Accurate ),5.34 (Inaccurate ),50.0 % ,Satisfactory
9,0,Initial Contact,50.0%,6.26 (Accurate ),47.0 (Inaccurate ),27.66 (Inaccurate ),45.02 (Accurate ),50.0 % ,Satisfactory
10,0,Initial Contact,50.0%,5.94 (Accurate ),27.93 (Accurate ),55.07 (Accurate ),40.0 (Accurate ),100.0 % ,Good
11,0,Initial Contact,50.0%,5.71 (Accurate ),20.54 (Accurate ),80.43 (Inaccurate ),35.6 (Accurate ),75.0 % ,Good
12,0,Initial Contact,50.0%,5.18 (Accurate ),18.08 (Accurate ),117.12 (Accurate ),29.21 (Accurate ),100.0 % ,Good
13,0,Terminal Stance,34.62%,5.14 (Accurate ),42.54 (Accurate ),124.94 (Accurate ),26.39 (Accurate ),100.0 % ,Good
14,0,Midstance,7.14%,5.2 (Accurate ),66.64 (Inaccurate ),15.89 (Accurate ),16.83 (Accurate ),75.0 % ,Good
15,0,Terminal Swing,20.0%,5.03 (Accurate ),133.05 (Accurate ),20.67 (Accurate ),17.84 (Accurate ),100.0 % ,Good
16,1,Terminal Stance,31.25%,4.32 (Accurate ),112.16 (Inaccurate ),15.08 (Accurate ),30.42 (Accurate ),75.0 % ,Good
