Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
111,7,Terminal Stance,76.58%,20.98 (Inaccurate ),27.42 (Inaccurate ),102.81 (Inaccurate ),24.07 (Inaccurate ),0.0 % ,Should Improve
112,7,Terminal Stance,76.79%,20.8 (Inaccurate ),43.56 (Accurate ),57.25 (Accurate ),21.01 (Inaccurate ),50.0 % ,Satisfactory
113,7,Terminal Swing,23.45%,20.15 (Inaccurate ),56.91 (Inaccurate ),29.5 (Inaccurate ),16.78 (Accurate ),25.0 % ,Should Improve
114,7,Terminal Swing,23.68%,18.68 (Accurate ),66.13 (Inaccurate ),33.78 (Inaccurate ),16.35 (Accurate ),50.0 % ,Satisfactory
115,7,Terminal Swing,23.91%,16.36 (Accurate ),86.8 (Inaccurate ),43.31 (Accurate ),1.79 (Inaccurate ),50.0 % ,Satisfactory
116,8,Terminal Stance,75.86%,17.8 (Accurate ),53.8 (Accurate ),120.96 (Accurate ),36.29 (Accurate ),100.0 % ,Good
117,8,Terminal Swing,24.36%,11.69 (Accurate ),136.02 (Inaccurate ),65.34 (Accurate ),52.34 (Accurate ),75.0 % ,Good
118,9,Terminal Stance,75.85%,6.74 (Accurate ),138.98 (Inaccurate ),33.37 (Inaccurate ),68.76 (Accurate ),50.0 % ,Satisfactory
119,9,Terminal Stance,76.05%,2.44 (Inaccurate ),134.69 (Inaccurate ),16.21 (Inaccurate ),75.71 (Inaccurate ),0.0 % ,Should Improve
120,9,Terminal Stance,76.25%,-1.17 (Inaccurate ),101.66 (Inaccurate ),15.02 (Inaccurate ),72.09 (Accurate ),25.0 % ,Should Improve
121,9,Terminal Stance,76.45%,-1.13 (Inaccurate ),53.6 (Accurate ),32.61 (Inaccurate ),66.84 (Accurate ),50.0 % ,Satisfactory
122,9,Terminal Stance,76.23%,-1.23 (Inaccurate ),25.71 (Inaccurate ),50.36 (Inaccurate ),59.78 (Accurate ),25.0 % ,Should Improve
123,9,Terminal Stance,76.02%,-1.09 (Inaccurate ),23.61 (Inaccurate ),63.85 (Inaccurate ),53.04 (Accurate ),25.0 % ,Should Improve
124,9,Terminal Stance,75.81%,0.12 (Inaccurate ),44.08 (Accurate ),71.4 (Inaccurate ),49.36 (Accurate ),50.0 % ,Satisfactory
125,9,Terminal Stance,75.6%,5.31 (Accurate ),48.01 (Accurate ),106.91 (Accurate ),39.55 (Accurate ),100.0 % ,Good
126,9,Terminal Stance,75.4%,10.14 (Accurate ),75.96 (Inaccurate ),136.01 (Inaccurate ),39.85 (Accurate ),50.0 % ,Satisfactory
127,9,Terminal Stance,75.59%,14.59 (Accurate ),57.67 (Accurate ),150.29 (Inaccurate ),18.11 (Inaccurate ),50.0 % ,Satisfactory
128,9,Terminal Stance,75.78%,16.39 (Accurate ),30.55 (Inaccurate ),144.66 (Inaccurate ),10.94 (Inaccurate ),25.0 % ,Should Improve
129,9,Terminal Stance,75.97%,16.84 (Accurate ),20.74 (Inaccurate ),123.41 (Inaccurate ),24.93 (Inaccurate ),25.0 % ,Should Improve
130,9,Terminal Stance,76.15%,17.71 (Accurate ),34.03 (Inaccurate ),85.0 (Inaccurate ),23.92 (Inaccurate ),25.0 % ,Should Improve
131,9,Terminal Stance,76.34%,18.41 (Accurate ),49.6 (Accurate ),44.01 (Accurate ),19.17 (Inaccurate ),75.0 % ,Good
132,9,Terminal Swing,23.86%,8.64 (Accurate ),63.54 (Inaccurate ),25.35 (Inaccurate ),23.72 (Accurate ),50.0 % ,Satisfactory
133,9,Terminal Swing,24.06%,9.32 (Accurate ),78.76 (Inaccurate ),16.82 (Inaccurate ),13.69 (Accurate ),50.0 % ,Satisfactory
134,10,Terminal Stance,75.75%,9.94 (Accurate ),84.54 (Inaccurate ),105.85 (Accurate ),42.0 (Accurate ),75.0 % ,Good
135,10,Terminal Swing,24.44%,10.87 (Accurate ),129.49 (Accurate ),57.77 (Accurate ),41.65 (Accurate ),100.0 % ,Good
136,10,Terminal Swing,24.63%,8.67 (Accurate ),147.19 (Inaccurate ),56.93 (Accurate ),55.98 (Inaccurate ),50.0 % ,Satisfactory
137,11,Terminal Stance,75.55%,6.51 (Accurate ),148.86 (Inaccurate ),36.78 (Accurate ),70.22 (Accurate ),75.0 % ,Good
138,11,Terminal Stance,75.72%,0.87 (Inaccurate ),133.36 (Inaccurate ),13.45 (Inaccurate ),74.85 (Accurate ),25.0 % ,Should Improve
139,11,Terminal Stance,75.9%,3.34 (Inaccurate ),102.05 (Inaccurate ),16.88 (Inaccurate ),77.55 (Inaccurate ),0.0 % ,Should Improve
140,11,Terminal Stance,76.07%,2.01 (Inaccurate ),55.5 (Accurate ),32.46 (Inaccurate ),70.78 (Accurate ),50.0 % ,Satisfactory
141,11,Terminal Stance,76.24%,0.73 (Inaccurate ),27.22 (Inaccurate ),50.95 (Accurate ),63.51 (Accurate ),50.0 % ,Satisfactory
142,11,Terminal Stance,76.06%,1.73 (Inaccurate ),24.32 (Inaccurate ),65.17 (Inaccurate ),59.4 (Accurate ),25.0 % ,Should Improve
143,11,Terminal Stance,75.87%,-0.62 (Inaccurate ),34.84 (Inaccurate ),78.13 (Inaccurate ),49.17 (Accurate ),25.0 % ,Should Improve
144,11,Terminal Stance,75.69%,1.14 (Inaccurate ),26.09 (Inaccurate ),105.43 (Accurate ),34.47 (Accurate ),50.0 % ,Satisfactory
145,11,Terminal Stance,75.52%,3.63 (Inaccurate ),65.61 (Accurate ),126.47 (Accurate ),34.61 (Accurate ),75.0 % ,Good
146,11,Terminal Stance,75.34%,7.65 (Accurate ),55.92 (Accurate ),148.49 (Inaccurate ),14.51 (Inaccurate ),50.0 % ,Satisfactory
147,11,Terminal Stance,75.51%,13.79 (Accurate ),34.28 (Inaccurate ),144.92 (Inaccurate ),7.95 (Inaccurate ),25.0 % ,Should Improve
148,11,Terminal Stance,75.68%,13.81 (Accurate ),12.38 (Inaccurate ),130.8 (Inaccurate ),28.09 (Accurate ),50.0 % ,Satisfactory
149,11,Terminal Stance,75.84%,13.26 (Accurate ),28.99 (Inaccurate ),98.28 (Inaccurate ),29.24 (Accurate ),50.0 % ,Satisfactory
150,11,Terminal Stance,76.0%,11.96 (Accurate ),46.81 (Accurate ),53.23 (Accurate ),25.42 (Accurate ),100.0 % ,Good
151,11,Terminal Swing,24.17%,10.89 (Accurate ),60.85 (Inaccurate ),24.67 (Inaccurate ),20.85 (Accurate ),50.0 % ,Satisfactory
152,11,Terminal Swing,24.34%,13.56 (Accurate ),72.94 (Inaccurate ),23.94 (Inaccurate ),13.38 (Accurate ),50.0 % ,Satisfactory
153,11,Terminal Swing,24.51%,12.0 (Accurate ),91.91 (Inaccurate ),26.15 (Inaccurate ),2.67 (Inaccurate ),25.0 % ,Should Improve
