Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
194,16,Terminal Stance,75.52%,11.75 (Accurate ),19.47 (Inaccurate ),132.71 (Inaccurate ),21.35 (Inaccurate ),25.0 % ,Should Improve
195,16,Terminal Stance,75.64%,10.41 (Accurate ),12.42 (Inaccurate ),77.78 (Inaccurate ),36.91 (Accurate ),50.0 % ,Satisfactory
196,16,Terminal Stance,75.77%,7.54 (Accurate ),66.55 (Accurate ),14.09 (Inaccurate ),79.13 (Inaccurate ),50.0 % ,Satisfactory
197,16,Terminal Stance,75.89%,5.76 (Accurate ),28.77 (Inaccurate ),33.03 (Inaccurate ),71.47 (Accurate ),50.0 % ,Satisfactory
198,16,Terminal Stance,75.76%,2.44 (Inaccurate ),11.74 (Inaccurate ),49.87 (Inaccurate ),60.2 (Accurate ),25.0 % ,Should Improve
199,16,Terminal Stance,75.63%,0.74 (Inaccurate ),22.16 (Inaccurate ),72.39 (Inaccurate ),51.61 (Accurate ),25.0 % ,Should Improve
200,16,Terminal Stance,75.5%,1.92 (Inaccurate ),38.61 (Accurate ),84.47 (Inaccurate ),44.17 (Accurate ),50.0 % ,Satisfactory
201,16,Terminal Stance,75.37%,10.58 (Accurate ),59.68 (Accurate ),117.74 (Accurate ),47.46 (Accurate ),100.0 % ,Good
202,16,Terminal Stance,75.25%,13.71 (Accurate ),68.88 (Accurate ),145.95 (Inaccurate ),34.69 (Accurate ),75.0 % ,Good
203,16,Terminal Stance,75.37%,11.83 (Accurate ),45.26 (Accurate ),151.66 (Inaccurate ),2.3 (Inaccurate ),50.0 % ,Satisfactory
204,16,Terminal Stance,75.49%,10.88 (Accurate ),21.1 (Inaccurate ),134.09 (Inaccurate ),24.08 (Inaccurate ),25.0 % ,Should Improve
205,16,Terminal Stance,75.61%,15.16 (Accurate ),26.05 (Inaccurate ),107.67 (Inaccurate ),25.91 (Accurate ),50.0 % ,Satisfactory
206,16,Terminal Stance,75.73%,22.99 (Inaccurate ),41.89 (Accurate ),65.96 (Accurate ),15.53 (Inaccurate ),50.0 % ,Satisfactory
207,16,Terminal Swing,24.4%,21.62 (Inaccurate ),53.77 (Inaccurate ),32.06 (Inaccurate ),15.64 (Accurate ),25.0 % ,Should Improve
208,16,Terminal Swing,24.52%,15.64 (Accurate ),65.07 (Inaccurate ),18.86 (Inaccurate ),19.06 (Accurate ),50.0 % ,Satisfactory
209,16,Terminal Swing,24.64%,15.63 (Accurate ),76.1 (Inaccurate ),30.59 (Inaccurate ),9.16 (Accurate ),50.0 % ,Satisfactory
210,17,Terminal Stance,75.48%,12.9 (Accurate ),87.17 (Inaccurate ),60.64 (Accurate ),34.11 (Accurate ),75.0 % ,Good
211,17,Terminal Swing,24.64%,13.38 (Accurate ),137.17 (Inaccurate ),53.71 (Accurate ),51.02 (Accurate ),75.0 % ,Good
212,17,Terminal Swing,24.76%,10.16 (Accurate ),145.79 (Inaccurate ),40.53 (Accurate ),65.38 (Inaccurate ),50.0 % ,Satisfactory
213,18,Terminal Stance,75.35%,4.53 (Accurate ),101.64 (Inaccurate ),29.12 (Inaccurate ),41.28 (Accurate ),50.0 % ,Satisfactory
214,18,Terminal Stance,75.47%,-3.2 (Inaccurate ),12.16 (Inaccurate ),112.25 (Inaccurate ),51.55 (Accurate ),25.0 % ,Should Improve
215,18,Terminal Stance,75.58%,-2.12 (Inaccurate ),83.81 (Inaccurate ),22.91 (Inaccurate ),37.68 (Accurate ),25.0 % ,Should Improve
216,18,Terminal Stance,75.69%,-2.82 (Inaccurate ),24.5 (Inaccurate ),26.14 (Inaccurate ),57.64 (Accurate ),25.0 % ,Should Improve
217,18,Terminal Stance,75.58%,-2.63 (Inaccurate ),14.72 (Inaccurate ),49.98 (Inaccurate ),53.57 (Accurate ),25.0 % ,Should Improve
218,18,Terminal Stance,75.46%,-4.59 (Inaccurate ),19.22 (Inaccurate ),64.77 (Inaccurate ),42.72 (Accurate ),25.0 % ,Should Improve
